kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,9,6,6,0,500,96
primer_density_study,9,6,6,0,1500,292
primer_density_study,9,6,6,0,3500,690
primer_density_study,9,6,6,0,13500,2106
primer_density_study,9,6,6,0,28500,3429
primer_density_study,9,6,6,0,53500,4984
primer_density_study,9,6,6,0,103500,6972
primer_density_study,9,6,6,0,203500,9267
primer_density_study,9,6,6,0,403500,11726
primer_density_study,9,6,6,0,503500,12584
primer_density_study,9,6,6,0,603500,13265
primer_density_study,9,6,6,0,703500,13831
primer_density_study,9,6,6,0,803500,14347
primer_density_study,9,6,6,0,903500,14772
primer_density_study,9,6,6,0,1003500,15166
primer_density_study,9,6,6,0,1203500,15867
primer_density_study,9,6,6,0,1403500,16419
primer_density_study,9,6,6,0,1603500,16923
primer_density_study,9,6,6,0,1803500,17424
primer_density_study,9,6,6,0,2003500,17857
