kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,8,6,6,100000,500,56
primer_density_study,8,6,6,100000,1500,184
primer_density_study,8,6,6,100000,3500,403
primer_density_study,8,6,6,100000,13500,1283
primer_density_study,8,6,6,100000,28500,2317
primer_density_study,8,6,6,100000,53500,3616
primer_density_study,8,6,6,100000,103500,5344
primer_density_study,8,6,6,100000,203500,7381
primer_density_study,8,6,6,100000,403500,10002
primer_density_study,8,6,6,100000,503500,10812
primer_density_study,8,6,6,100000,603500,11535
primer_density_study,8,6,6,100000,703500,12187
primer_density_study,8,6,6,100000,803500,12698
primer_density_study,8,6,6,100000,903500,13240
primer_density_study,8,6,6,100000,1003500,13676
