kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,1000000,500,85
primer_density_study,10,6,6,1000000,1500,226
primer_density_study,10,6,6,1000000,3500,503
primer_density_study,10,6,6,1000000,13500,1585
primer_density_study,10,6,6,1000000,28500,2792
primer_density_study,10,6,6,1000000,53500,4214
primer_density_study,10,6,6,1000000,103500,6056
primer_density_study,10,6,6,1000000,203500,8229
primer_density_study,10,6,6,1000000,403500,10681
primer_density_study,10,6,6,1000000,503500,11487
primer_density_study,10,6,6,1000000,603500,12240
primer_density_study,10,6,6,1000000,703500,12851
primer_density_study,10,6,6,1000000,803500,13402
primer_density_study,10,6,6,1000000,903500,13863
primer_density_study,10,6,6,1000000,1003500,14285
primer_density_study,10,6,6,1000000,1203500,15043
primer_density_study,10,6,6,1000000,1403500,15671
primer_density_study,10,6,6,1000000,1603500,16226
primer_density_study,10,6,6,1000000,1803500,16710
primer_density_study,10,6,6,1000000,2003500,17182
