kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,12,6,6,1000000,500,72
primer_density_study,12,6,6,1000000,1500,225
primer_density_study,12,6,6,1000000,3500,482
primer_density_study,12,6,6,1000000,13500,1570
primer_density_study,12,6,6,1000000,28500,2739
primer_density_study,12,6,6,1000000,53500,4059
primer_density_study,12,6,6,1000000,103500,5818
primer_density_study,12,6,6,1000000,203500,8061
primer_density_study,12,6,6,1000000,403500,10511
primer_density_study,12,6,6,1000000,503500,11386
primer_density_study,12,6,6,1000000,603500,12114
primer_density_study,12,6,6,1000000,703500,12768
primer_density_study,12,6,6,1000000,803500,13264
primer_density_study,12,6,6,1000000,903500,13754
primer_density_study,12,6,6,1000000,1003500,14157
primer_density_study,12,6,6,1000000,1203500,14909
primer_density_study,12,6,6,1000000,1403500,15526
primer_density_study,12,6,6,1000000,1603500,16088
primer_density_study,12,6,6,1000000,1803500,16589
primer_density_study,12,6,6,1000000,2003500,17058
