kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,5,6,6,0,500,116
primer_density_study,5,6,6,0,1500,341
primer_density_study,5,6,6,0,3500,702
primer_density_study,5,6,6,0,13500,2084
primer_density_study,5,6,6,0,28500,3486
primer_density_study,5,6,6,0,53500,5040
primer_density_study,5,6,6,0,103500,7030
primer_density_study,5,6,6,0,203500,9347
primer_density_study,5,6,6,0,403500,11795
primer_density_study,5,6,6,0,503500,12559
primer_density_study,5,6,6,0,603500,13229
primer_density_study,5,6,6,0,703500,13769
primer_density_study,5,6,6,0,803500,14300
primer_density_study,5,6,6,0,903500,14763
primer_density_study,5,6,6,0,1003500,15183
primer_density_study,5,6,6,0,1203500,15840
primer_density_study,5,6,6,0,1403500,16462
primer_density_study,5,6,6,0,1603500,16976
primer_density_study,5,6,6,0,1803500,17480
primer_density_study,5,6,6,0,2003500,17914
