kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,7,6,6,0,500,110
primer_density_study,7,6,6,0,1500,323
primer_density_study,7,6,6,0,3500,702
primer_density_study,7,6,6,0,13500,2119
primer_density_study,7,6,6,0,28500,3493
primer_density_study,7,6,6,0,53500,5040
primer_density_study,7,6,6,0,103500,6987
primer_density_study,7,6,6,0,203500,9223
primer_density_study,7,6,6,0,403500,11709
primer_density_study,7,6,6,0,503500,12525
primer_density_study,7,6,6,0,603500,13183
primer_density_study,7,6,6,0,703500,13757
primer_density_study,7,6,6,0,803500,14276
primer_density_study,7,6,6,0,903500,14706
primer_density_study,7,6,6,0,1003500,15081
primer_density_study,7,6,6,0,1203500,15798
primer_density_study,7,6,6,0,1403500,16394
primer_density_study,7,6,6,0,1603500,16873
primer_density_study,7,6,6,0,1803500,17333
primer_density_study,7,6,6,0,2003500,17771
