kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,1000000,500,1
primer_density_study,6,6,6,1000000,1500,2
primer_density_study,6,6,6,1000000,3500,8
primer_density_study,6,6,6,1000000,13500,33
primer_density_study,6,6,6,1000000,28500,69
primer_density_study,6,6,6,1000000,53500,114
primer_density_study,6,6,6,1000000,103500,217
primer_density_study,6,6,6,1000000,203500,376
primer_density_study,6,6,6,1000000,403500,627
primer_density_study,6,6,6,1000000,503500,713
primer_density_study,6,6,6,1000000,603500,802
primer_density_study,6,6,6,1000000,703500,871
primer_density_study,6,6,6,1000000,803500,937
primer_density_study,6,6,6,1000000,903500,1000
primer_density_study,6,6,6,1000000,1003500,1061
primer_density_study,6,6,6,1000000,1203500,1169
primer_density_study,6,6,6,1000000,1403500,1254
primer_density_study,6,6,6,1000000,1603500,1340
primer_density_study,6,6,6,1000000,1803500,1417
primer_density_study,6,6,6,1000000,2003500,1492
