kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,11,6,6,0,500,96
primer_density_study,11,6,6,0,1500,284
primer_density_study,11,6,6,0,3500,650
primer_density_study,11,6,6,0,13500,2089
primer_density_study,11,6,6,0,28500,3455
primer_density_study,11,6,6,0,53500,5077
primer_density_study,11,6,6,0,103500,7039
primer_density_study,11,6,6,0,203500,9331
primer_density_study,11,6,6,0,403500,11701
primer_density_study,11,6,6,0,503500,12543
primer_density_study,11,6,6,0,603500,13202
primer_density_study,11,6,6,0,703500,13775
primer_density_study,11,6,6,0,803500,14298
primer_density_study,11,6,6,0,903500,14755
primer_density_study,11,6,6,0,1003500,15121
primer_density_study,11,6,6,0,1203500,15839
primer_density_study,11,6,6,0,1403500,16464
primer_density_study,11,6,6,0,1603500,16993
primer_density_study,11,6,6,0,1803500,17459
primer_density_study,11,6,6,0,2003500,17874
