kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,10000,500,56
primer_density_study,6,6,6,10000,1500,135
primer_density_study,6,6,6,10000,3500,289
primer_density_study,6,6,6,10000,13500,1009
primer_density_study,6,6,6,10000,28500,1799
primer_density_study,6,6,6,10000,53500,2822
primer_density_study,6,6,6,10000,103500,4229
