kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,8,6,6,1000000,500,50
primer_density_study,8,6,6,1000000,1500,130
primer_density_study,8,6,6,1000000,3500,284
primer_density_study,8,6,6,1000000,13500,1032
primer_density_study,8,6,6,1000000,28500,1888
primer_density_study,8,6,6,1000000,53500,2904
primer_density_study,8,6,6,1000000,103500,4523
primer_density_study,8,6,6,1000000,203500,6608
primer_density_study,8,6,6,1000000,403500,9028
primer_density_study,8,6,6,1000000,503500,9821
primer_density_study,8,6,6,1000000,603500,10510
primer_density_study,8,6,6,1000000,703500,11170
primer_density_study,8,6,6,1000000,803500,11720
primer_density_study,8,6,6,1000000,903500,12141
primer_density_study,8,6,6,1000000,1003500,12579
primer_density_study,8,6,6,1000000,1203500,13392
primer_density_study,8,6,6,1000000,1403500,14007
primer_density_study,8,6,6,1000000,1603500,14602
primer_density_study,8,6,6,1000000,1803500,15145
primer_density_study,8,6,6,1000000,2003500,15601
