kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,4,6,6,0,500,112
primer_density_study,4,6,6,0,1500,315
primer_density_study,4,6,6,0,3500,717
primer_density_study,4,6,6,0,13500,2152
primer_density_study,4,6,6,0,28500,3581
primer_density_study,4,6,6,0,53500,5112
primer_density_study,4,6,6,0,103500,7008
primer_density_study,4,6,6,0,203500,9239
primer_density_study,4,6,6,0,403500,11703
primer_density_study,4,6,6,0,503500,12577
primer_density_study,4,6,6,0,603500,13231
primer_density_study,4,6,6,0,703500,13841
primer_density_study,4,6,6,0,803500,14348
primer_density_study,4,6,6,0,903500,14777
primer_density_study,4,6,6,0,1003500,15173
primer_density_study,4,6,6,0,1203500,15868
primer_density_study,4,6,6,0,1403500,16497
primer_density_study,4,6,6,0,1603500,17004
primer_density_study,4,6,6,0,1803500,17451
primer_density_study,4,6,6,0,2003500,17900
