kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,0,500,118
primer_density_study,6,6,6,0,1500,336
primer_density_study,6,6,6,0,3500,702
primer_density_study,6,6,6,0,13500,2112
primer_density_study,6,6,6,0,28500,3587
primer_density_study,6,6,6,0,53500,5140
primer_density_study,6,6,6,0,103500,7055
primer_density_study,6,6,6,0,203500,9286
primer_density_study,6,6,6,0,403500,11784
primer_density_study,6,6,6,0,503500,12557
primer_density_study,6,6,6,0,603500,13226
primer_density_study,6,6,6,0,703500,13803
primer_density_study,6,6,6,0,803500,14290
primer_density_study,6,6,6,0,903500,14735
primer_density_study,6,6,6,0,1003500,15155
primer_density_study,6,6,6,0,1203500,15861
primer_density_study,6,6,6,0,1403500,16427
primer_density_study,6,6,6,0,1603500,16944
primer_density_study,6,6,6,0,1803500,17423
primer_density_study,6,6,6,0,2003500,17875
