kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,11,6,6,0,500,109
primer_density_study,11,6,6,0,1500,302
primer_density_study,11,6,6,0,3500,645
primer_density_study,11,6,6,0,13500,2083
primer_density_study,11,6,6,0,28500,3485
primer_density_study,11,6,6,0,53500,5064
primer_density_study,11,6,6,0,103500,6947
primer_density_study,11,6,6,0,203500,9212
primer_density_study,11,6,6,0,403500,11648
primer_density_study,11,6,6,0,503500,12519
primer_density_study,11,6,6,0,603500,13221
primer_density_study,11,6,6,0,703500,13774
primer_density_study,11,6,6,0,803500,14249
primer_density_study,11,6,6,0,903500,14683
primer_density_study,11,6,6,0,1003500,15104
