kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,8,6,6,0,500,98
primer_density_study,8,6,6,0,1500,306
primer_density_study,8,6,6,0,3500,689
primer_density_study,8,6,6,0,13500,2155
primer_density_study,8,6,6,0,28500,3502
primer_density_study,8,6,6,0,53500,5080
primer_density_study,8,6,6,0,103500,7021
primer_density_study,8,6,6,0,203500,9157
primer_density_study,8,6,6,0,403500,11629
primer_density_study,8,6,6,0,503500,12473
primer_density_study,8,6,6,0,603500,13156
primer_density_study,8,6,6,0,703500,13726
primer_density_study,8,6,6,0,803500,14227
primer_density_study,8,6,6,0,903500,14673
primer_density_study,8,6,6,0,1003500,15123
