kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,1000000,500,3
primer_density_study,6,6,6,1000000,1500,7
primer_density_study,6,6,6,1000000,3500,10
primer_density_study,6,6,6,1000000,13500,40
primer_density_study,6,6,6,1000000,28500,74
primer_density_study,6,6,6,1000000,53500,115
primer_density_study,6,6,6,1000000,103500,211
primer_density_study,6,6,6,1000000,203500,360
primer_density_study,6,6,6,1000000,403500,598
primer_density_study,6,6,6,1000000,503500,696
primer_density_study,6,6,6,1000000,603500,785
primer_density_study,6,6,6,1000000,703500,869
primer_density_study,6,6,6,1000000,803500,924
primer_density_study,6,6,6,1000000,903500,996
primer_density_study,6,6,6,1000000,1003500,1063
primer_density_study,6,6,6,1000000,1203500,1171
primer_density_study,6,6,6,1000000,1403500,1256
primer_density_study,6,6,6,1000000,1603500,1343
primer_density_study,6,6,6,1000000,1803500,1437
primer_density_study,6,6,6,1000000,2003500,1520
