kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,0,500,115
primer_density_study,10,6,6,0,1500,314
primer_density_study,10,6,6,0,3500,677
primer_density_study,10,6,6,0,13500,2123
primer_density_study,10,6,6,0,28500,3499
primer_density_study,10,6,6,0,53500,5035
primer_density_study,10,6,6,0,103500,7009
primer_density_study,10,6,6,0,203500,9238
primer_density_study,10,6,6,0,403500,11746
primer_density_study,10,6,6,0,503500,12556
primer_density_study,10,6,6,0,603500,13255
primer_density_study,10,6,6,0,703500,13828
primer_density_study,10,6,6,0,803500,14327
primer_density_study,10,6,6,0,903500,14781
primer_density_study,10,6,6,0,1003500,15167
primer_density_study,10,6,6,0,1203500,15852
primer_density_study,10,6,6,0,1403500,16455
primer_density_study,10,6,6,0,1603500,16956
primer_density_study,10,6,6,0,1803500,17400
primer_density_study,10,6,6,0,2003500,17784
