kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,12,6,6,0,500,113
primer_density_study,12,6,6,0,1500,346
primer_density_study,12,6,6,0,3500,712
primer_density_study,12,6,6,0,13500,2114
primer_density_study,12,6,6,0,28500,3449
primer_density_study,12,6,6,0,53500,5010
primer_density_study,12,6,6,0,103500,7055
primer_density_study,12,6,6,0,203500,9274
primer_density_study,12,6,6,0,403500,11720
primer_density_study,12,6,6,0,503500,12574
primer_density_study,12,6,6,0,603500,13278
primer_density_study,12,6,6,0,703500,13871
primer_density_study,12,6,6,0,803500,14381
primer_density_study,12,6,6,0,903500,14857
primer_density_study,12,6,6,0,1003500,15248
primer_density_study,12,6,6,0,1203500,15973
primer_density_study,12,6,6,0,1403500,16557
primer_density_study,12,6,6,0,1603500,17053
primer_density_study,12,6,6,0,1803500,17526
primer_density_study,12,6,6,0,2003500,17954
