kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,12,6,6,1000000,500,80
primer_density_study,12,6,6,1000000,1500,229
primer_density_study,12,6,6,1000000,3500,494
primer_density_study,12,6,6,1000000,13500,1587
primer_density_study,12,6,6,1000000,28500,2720
primer_density_study,12,6,6,1000000,53500,4041
primer_density_study,12,6,6,1000000,103500,5796
primer_density_study,12,6,6,1000000,203500,7950
primer_density_study,12,6,6,1000000,403500,10447
primer_density_study,12,6,6,1000000,503500,11318
primer_density_study,12,6,6,1000000,603500,12040
primer_density_study,12,6,6,1000000,703500,12651
primer_density_study,12,6,6,1000000,803500,13149
primer_density_study,12,6,6,1000000,903500,13627
primer_density_study,12,6,6,1000000,1003500,14030
primer_density_study,12,6,6,1000000,1203500,14816
primer_density_study,12,6,6,1000000,1403500,15423
