kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,8,6,6,0,500,114
primer_density_study,8,6,6,0,1500,318
primer_density_study,8,6,6,0,3500,702
primer_density_study,8,6,6,0,13500,2163
primer_density_study,8,6,6,0,28500,3515
primer_density_study,8,6,6,0,53500,5079
primer_density_study,8,6,6,0,103500,7020
primer_density_study,8,6,6,0,203500,9270
primer_density_study,8,6,6,0,403500,11719
primer_density_study,8,6,6,0,503500,12547
primer_density_study,8,6,6,0,603500,13257
primer_density_study,8,6,6,0,703500,13818
primer_density_study,8,6,6,0,803500,14334
primer_density_study,8,6,6,0,903500,14770
primer_density_study,8,6,6,0,1003500,15185
primer_density_study,8,6,6,0,1203500,15874
primer_density_study,8,6,6,0,1403500,16490
primer_density_study,8,6,6,0,1603500,16960
primer_density_study,8,6,6,0,1803500,17448
primer_density_study,8,6,6,0,2003500,17874
