kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,7,6,6,0,500,107
primer_density_study,7,6,6,0,1500,322
primer_density_study,7,6,6,0,3500,688
primer_density_study,7,6,6,0,13500,2075
primer_density_study,7,6,6,0,28500,3448
primer_density_study,7,6,6,0,53500,5017
primer_density_study,7,6,6,0,103500,7015
primer_density_study,7,6,6,0,203500,9235
primer_density_study,7,6,6,0,403500,11728
primer_density_study,7,6,6,0,503500,12600
primer_density_study,7,6,6,0,603500,13277
primer_density_study,7,6,6,0,703500,13816
primer_density_study,7,6,6,0,803500,14282
primer_density_study,7,6,6,0,903500,14757
primer_density_study,7,6,6,0,1003500,15140
primer_density_study,7,6,6,0,1203500,15853
primer_density_study,7,6,6,0,1403500,16484
primer_density_study,7,6,6,0,1603500,16997
primer_density_study,7,6,6,0,1803500,17475
primer_density_study,7,6,6,0,2003500,17903
