kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,5,6,6,1000000,500,0
primer_density_study,5,6,6,1000000,1500,0
primer_density_study,5,6,6,1000000,3500,0
primer_density_study,5,6,6,1000000,13500,0
primer_density_study,5,6,6,1000000,28500,0
primer_density_study,5,6,6,1000000,53500,0
primer_density_study,5,6,6,1000000,103500,0
primer_density_study,5,6,6,1000000,203500,0
primer_density_study,5,6,6,1000000,403500,0
primer_density_study,5,6,6,1000000,503500,0
primer_density_study,5,6,6,1000000,603500,0
primer_density_study,5,6,6,1000000,703500,0
primer_density_study,5,6,6,1000000,803500,0
primer_density_study,5,6,6,1000000,903500,0
primer_density_study,5,6,6,1000000,1003500,0
primer_density_study,5,6,6,1000000,1203500,0
primer_density_study,5,6,6,1000000,1403500,0
primer_density_study,5,6,6,1000000,1603500,0
primer_density_study,5,6,6,1000000,1803500,0
primer_density_study,5,6,6,1000000,2003500,0
