kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,1000000,500,3
primer_density_study,6,6,6,1000000,1500,4
primer_density_study,6,6,6,1000000,3500,5
primer_density_study,6,6,6,1000000,13500,30
primer_density_study,6,6,6,1000000,28500,65
primer_density_study,6,6,6,1000000,53500,110
primer_density_study,6,6,6,1000000,103500,209
primer_density_study,6,6,6,1000000,203500,354
primer_density_study,6,6,6,1000000,403500,583
primer_density_study,6,6,6,1000000,503500,673
primer_density_study,6,6,6,1000000,603500,752
primer_density_study,6,6,6,1000000,703500,830
primer_density_study,6,6,6,1000000,803500,906
primer_density_study,6,6,6,1000000,903500,974
primer_density_study,6,6,6,1000000,1003500,1029
primer_density_study,6,6,6,1000000,1203500,1145
primer_density_study,6,6,6,1000000,1403500,1262
primer_density_study,6,6,6,1000000,1603500,1344
primer_density_study,6,6,6,1000000,1803500,1436
primer_density_study,6,6,6,1000000,2003500,1514
