kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,11,6,6,1000000,500,80
primer_density_study,11,6,6,1000000,1500,222
primer_density_study,11,6,6,1000000,3500,528
primer_density_study,11,6,6,1000000,13500,1764
primer_density_study,11,6,6,1000000,28500,3036
primer_density_study,11,6,6,1000000,53500,4444
primer_density_study,11,6,6,1000000,103500,6296
primer_density_study,11,6,6,1000000,203500,8497
primer_density_study,11,6,6,1000000,403500,10951
primer_density_study,11,6,6,1000000,503500,11823
primer_density_study,11,6,6,1000000,603500,12534
primer_density_study,11,6,6,1000000,703500,13144
primer_density_study,11,6,6,1000000,803500,13656
primer_density_study,11,6,6,1000000,903500,14112
primer_density_study,11,6,6,1000000,1003500,14519
primer_density_study,11,6,6,1000000,1203500,15225
primer_density_study,11,6,6,1000000,1403500,15845
primer_density_study,11,6,6,1000000,1603500,16406
primer_density_study,11,6,6,1000000,1803500,16893
primer_density_study,11,6,6,1000000,2003500,17296
