kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,0,500,102
primer_density_study,10,6,6,0,1500,314
primer_density_study,10,6,6,0,3500,669
primer_density_study,10,6,6,0,13500,2082
primer_density_study,10,6,6,0,28500,3506
primer_density_study,10,6,6,0,53500,5066
primer_density_study,10,6,6,0,103500,6981
primer_density_study,10,6,6,0,203500,9272
primer_density_study,10,6,6,0,403500,11724
primer_density_study,10,6,6,0,503500,12513
primer_density_study,10,6,6,0,603500,13215
primer_density_study,10,6,6,0,703500,13797
primer_density_study,10,6,6,0,803500,14267
primer_density_study,10,6,6,0,903500,14714
primer_density_study,10,6,6,0,1003500,15148
primer_density_study,10,6,6,0,1203500,15848
primer_density_study,10,6,6,0,1403500,16410
primer_density_study,10,6,6,0,1603500,16942
primer_density_study,10,6,6,0,1803500,17394
primer_density_study,10,6,6,0,2003500,17799
