kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,8,6,6,0,500,101
primer_density_study,8,6,6,0,1500,306
primer_density_study,8,6,6,0,3500,656
primer_density_study,8,6,6,0,13500,2098
primer_density_study,8,6,6,0,28500,3471
primer_density_study,8,6,6,0,53500,5047
primer_density_study,8,6,6,0,103500,7081
primer_density_study,8,6,6,0,203500,9348
primer_density_study,8,6,6,0,403500,11769
primer_density_study,8,6,6,0,503500,12569
primer_density_study,8,6,6,0,603500,13265
primer_density_study,8,6,6,0,703500,13856
primer_density_study,8,6,6,0,803500,14345
primer_density_study,8,6,6,0,903500,14798
primer_density_study,8,6,6,0,1003500,15204
primer_density_study,8,6,6,0,1203500,15923
primer_density_study,8,6,6,0,1403500,16552
primer_density_study,8,6,6,0,1603500,17084
primer_density_study,8,6,6,0,1803500,17539
primer_density_study,8,6,6,0,2003500,17940
