kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,7,6,6,1000000,500,26
primer_density_study,7,6,6,1000000,1500,87
primer_density_study,7,6,6,1000000,3500,222
primer_density_study,7,6,6,1000000,13500,751
primer_density_study,7,6,6,1000000,28500,1442
primer_density_study,7,6,6,1000000,53500,2350
primer_density_study,7,6,6,1000000,103500,3751
primer_density_study,7,6,6,1000000,203500,5530
primer_density_study,7,6,6,1000000,403500,7815
primer_density_study,7,6,6,1000000,503500,8639
primer_density_study,7,6,6,1000000,603500,9351
primer_density_study,7,6,6,1000000,703500,9957
primer_density_study,7,6,6,1000000,803500,10512
primer_density_study,7,6,6,1000000,903500,10977
primer_density_study,7,6,6,1000000,1003500,11418
primer_density_study,7,6,6,1000000,1203500,12192
primer_density_study,7,6,6,1000000,1403500,12851
primer_density_study,7,6,6,1000000,1603500,13407
primer_density_study,7,6,6,1000000,1803500,13965
primer_density_study,7,6,6,1000000,2003500,14464
