kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,9,6,6,0,500,119
primer_density_study,9,6,6,0,1500,324
primer_density_study,9,6,6,0,3500,707
primer_density_study,9,6,6,0,13500,2082
primer_density_study,9,6,6,0,28500,3487
primer_density_study,9,6,6,0,53500,5022
primer_density_study,9,6,6,0,103500,6971
primer_density_study,9,6,6,0,203500,9178
primer_density_study,9,6,6,0,403500,11678
primer_density_study,9,6,6,0,503500,12511
primer_density_study,9,6,6,0,603500,13172
primer_density_study,9,6,6,0,703500,13764
primer_density_study,9,6,6,0,803500,14273
primer_density_study,9,6,6,0,903500,14744
primer_density_study,9,6,6,0,1003500,15139
