kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,11,6,6,0,500,90
primer_density_study,11,6,6,0,1500,297
primer_density_study,11,6,6,0,3500,673
primer_density_study,11,6,6,0,13500,2069
primer_density_study,11,6,6,0,28500,3492
primer_density_study,11,6,6,0,53500,4984
primer_density_study,11,6,6,0,103500,6960
primer_density_study,11,6,6,0,203500,9270
primer_density_study,11,6,6,0,403500,11708
primer_density_study,11,6,6,0,503500,12513
primer_density_study,11,6,6,0,603500,13217
primer_density_study,11,6,6,0,703500,13794
primer_density_study,11,6,6,0,803500,14314
primer_density_study,11,6,6,0,903500,14748
primer_density_study,11,6,6,0,1003500,15174
primer_density_study,11,6,6,0,1203500,15853
primer_density_study,11,6,6,0,1403500,16449
primer_density_study,11,6,6,0,1603500,16961
primer_density_study,11,6,6,0,1803500,17393
primer_density_study,11,6,6,0,2003500,17849
