kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,7,6,6,1000000,500,28
primer_density_study,7,6,6,1000000,1500,81
primer_density_study,7,6,6,1000000,3500,197
primer_density_study,7,6,6,1000000,13500,770
primer_density_study,7,6,6,1000000,28500,1434
primer_density_study,7,6,6,1000000,53500,2330
primer_density_study,7,6,6,1000000,103500,3738
primer_density_study,7,6,6,1000000,203500,5575
primer_density_study,7,6,6,1000000,403500,7868
primer_density_study,7,6,6,1000000,503500,8712
primer_density_study,7,6,6,1000000,603500,9374
primer_density_study,7,6,6,1000000,703500,9985
primer_density_study,7,6,6,1000000,803500,10553
primer_density_study,7,6,6,1000000,903500,11033
primer_density_study,7,6,6,1000000,1003500,11485
primer_density_study,7,6,6,1000000,1203500,12196
primer_density_study,7,6,6,1000000,1403500,12862
primer_density_study,7,6,6,1000000,1603500,13466
primer_density_study,7,6,6,1000000,1803500,13959
primer_density_study,7,6,6,1000000,2003500,14427
