kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,1000000,500,77
primer_density_study,10,6,6,1000000,1500,219
primer_density_study,10,6,6,1000000,3500,477
primer_density_study,10,6,6,1000000,13500,1589
primer_density_study,10,6,6,1000000,28500,2819
primer_density_study,10,6,6,1000000,53500,4198
primer_density_study,10,6,6,1000000,103500,6027
primer_density_study,10,6,6,1000000,203500,8203
primer_density_study,10,6,6,1000000,403500,10667
primer_density_study,10,6,6,1000000,503500,11530
primer_density_study,10,6,6,1000000,603500,12186
primer_density_study,10,6,6,1000000,703500,12811
primer_density_study,10,6,6,1000000,803500,13319
primer_density_study,10,6,6,1000000,903500,13785
primer_density_study,10,6,6,1000000,1003500,14259
primer_density_study,10,6,6,1000000,1203500,14978
primer_density_study,10,6,6,1000000,1403500,15602
