kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,0,500,106
primer_density_study,6,6,6,0,1500,319
primer_density_study,6,6,6,0,3500,683
primer_density_study,6,6,6,0,13500,2108
primer_density_study,6,6,6,0,28500,3505
primer_density_study,6,6,6,0,53500,5008
primer_density_study,6,6,6,0,103500,6994
primer_density_study,6,6,6,0,203500,9274
primer_density_study,6,6,6,0,403500,11790
primer_density_study,6,6,6,0,503500,12579
primer_density_study,6,6,6,0,603500,13269
primer_density_study,6,6,6,0,703500,13843
primer_density_study,6,6,6,0,803500,14358
primer_density_study,6,6,6,0,903500,14784
primer_density_study,6,6,6,0,1003500,15216
primer_density_study,6,6,6,0,1203500,15911
primer_density_study,6,6,6,0,1403500,16498
primer_density_study,6,6,6,0,1603500,16991
primer_density_study,6,6,6,0,1803500,17433
primer_density_study,6,6,6,0,2003500,17841
