kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,0,500,99
primer_density_study,10,6,6,0,1500,292
primer_density_study,10,6,6,0,3500,646
primer_density_study,10,6,6,0,13500,1987
primer_density_study,10,6,6,0,28500,3416
primer_density_study,10,6,6,0,53500,5020
primer_density_study,10,6,6,0,103500,6965
primer_density_study,10,6,6,0,203500,9324
primer_density_study,10,6,6,0,403500,11740
primer_density_study,10,6,6,0,503500,12533
primer_density_study,10,6,6,0,603500,13178
primer_density_study,10,6,6,0,703500,13748
primer_density_study,10,6,6,0,803500,14266
primer_density_study,10,6,6,0,903500,14717
primer_density_study,10,6,6,0,1003500,15119
