kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,8,6,6,1000000,500,40
primer_density_study,8,6,6,1000000,1500,120
primer_density_study,8,6,6,1000000,3500,286
primer_density_study,8,6,6,1000000,13500,1053
primer_density_study,8,6,6,1000000,28500,1937
primer_density_study,8,6,6,1000000,53500,2999
primer_density_study,8,6,6,1000000,103500,4514
primer_density_study,8,6,6,1000000,203500,6594
primer_density_study,8,6,6,1000000,403500,8994
primer_density_study,8,6,6,1000000,503500,9847
primer_density_study,8,6,6,1000000,603500,10543
primer_density_study,8,6,6,1000000,703500,11145
primer_density_study,8,6,6,1000000,803500,11734
primer_density_study,8,6,6,1000000,903500,12248
primer_density_study,8,6,6,1000000,1003500,12692
primer_density_study,8,6,6,1000000,1203500,13481
primer_density_study,8,6,6,1000000,1403500,14133
primer_density_study,8,6,6,1000000,1603500,14704
primer_density_study,8,6,6,1000000,1803500,15216
primer_density_study,8,6,6,1000000,2003500,15682
