kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,100000,500,93
primer_density_study,10,6,6,100000,1500,234
primer_density_study,10,6,6,100000,3500,551
primer_density_study,10,6,6,100000,13500,1733
primer_density_study,10,6,6,100000,28500,2967
primer_density_study,10,6,6,100000,53500,4335
primer_density_study,10,6,6,100000,103500,6174
primer_density_study,10,6,6,100000,203500,8374
primer_density_study,10,6,6,100000,403500,10788
primer_density_study,10,6,6,100000,503500,11560
primer_density_study,10,6,6,100000,603500,12270
primer_density_study,10,6,6,100000,703500,12902
primer_density_study,10,6,6,100000,803500,13452
primer_density_study,10,6,6,100000,903500,13897
primer_density_study,10,6,6,100000,1003500,14334
