kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,11,6,6,1000000,500,82
primer_density_study,11,6,6,1000000,1500,264
primer_density_study,11,6,6,1000000,3500,547
primer_density_study,11,6,6,1000000,13500,1776
primer_density_study,11,6,6,1000000,28500,3073
primer_density_study,11,6,6,1000000,53500,4470
primer_density_study,11,6,6,1000000,103500,6312
primer_density_study,11,6,6,1000000,203500,8547
primer_density_study,11,6,6,1000000,403500,10978
primer_density_study,11,6,6,1000000,503500,11789
primer_density_study,11,6,6,1000000,603500,12536
primer_density_study,11,6,6,1000000,703500,13136
primer_density_study,11,6,6,1000000,803500,13646
primer_density_study,11,6,6,1000000,903500,14126
primer_density_study,11,6,6,1000000,1003500,14568
primer_density_study,11,6,6,1000000,1203500,15290
primer_density_study,11,6,6,1000000,1403500,15872
