kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,12,6,6,100000,500,75
primer_density_study,12,6,6,100000,1500,225
primer_density_study,12,6,6,100000,3500,496
primer_density_study,12,6,6,100000,13500,1570
primer_density_study,12,6,6,100000,28500,2751
primer_density_study,12,6,6,100000,53500,4092
primer_density_study,12,6,6,100000,103500,5866
primer_density_study,12,6,6,100000,203500,8140
primer_density_study,12,6,6,100000,403500,10570
primer_density_study,12,6,6,100000,503500,11422
primer_density_study,12,6,6,100000,603500,12110
primer_density_study,12,6,6,100000,703500,12702
primer_density_study,12,6,6,100000,803500,13242
primer_density_study,12,6,6,100000,903500,13691
primer_density_study,12,6,6,100000,1003500,14099
