kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,6,6,6,0,500,97
primer_density_study,6,6,6,0,1500,310
primer_density_study,6,6,6,0,3500,685
primer_density_study,6,6,6,0,13500,2097
primer_density_study,6,6,6,0,28500,3491
primer_density_study,6,6,6,0,53500,5069
primer_density_study,6,6,6,0,103500,6964
primer_density_study,6,6,6,0,203500,9250
primer_density_study,6,6,6,0,403500,11696
primer_density_study,6,6,6,0,503500,12519
primer_density_study,6,6,6,0,603500,13216
primer_density_study,6,6,6,0,703500,13773
primer_density_study,6,6,6,0,803500,14283
primer_density_study,6,6,6,0,903500,14752
primer_density_study,6,6,6,0,1003500,15160
