kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,12,6,6,1000000,500,74
primer_density_study,12,6,6,1000000,1500,212
primer_density_study,12,6,6,1000000,3500,478
primer_density_study,12,6,6,1000000,13500,1554
primer_density_study,12,6,6,1000000,28500,2713
primer_density_study,12,6,6,1000000,53500,4127
primer_density_study,12,6,6,1000000,103500,5929
primer_density_study,12,6,6,1000000,203500,8101
primer_density_study,12,6,6,1000000,403500,10553
primer_density_study,12,6,6,1000000,503500,11364
primer_density_study,12,6,6,1000000,603500,12104
primer_density_study,12,6,6,1000000,703500,12719
primer_density_study,12,6,6,1000000,803500,13244
primer_density_study,12,6,6,1000000,903500,13737
primer_density_study,12,6,6,1000000,1003500,14152
primer_density_study,12,6,6,1000000,1203500,14893
primer_density_study,12,6,6,1000000,1403500,15569
primer_density_study,12,6,6,1000000,1603500,16119
primer_density_study,12,6,6,1000000,1803500,16633
primer_density_study,12,6,6,1000000,2003500,17095
