kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,11,6,6,1000000,500,99
primer_density_study,11,6,6,1000000,1500,277
primer_density_study,11,6,6,1000000,3500,591
primer_density_study,11,6,6,1000000,13500,1793
primer_density_study,11,6,6,1000000,28500,3051
primer_density_study,11,6,6,1000000,53500,4471
primer_density_study,11,6,6,1000000,103500,6262
primer_density_study,11,6,6,1000000,203500,8501
primer_density_study,11,6,6,1000000,403500,10989
primer_density_study,11,6,6,1000000,503500,11874
primer_density_study,11,6,6,1000000,603500,12575
primer_density_study,11,6,6,1000000,703500,13170
primer_density_study,11,6,6,1000000,803500,13690
primer_density_study,11,6,6,1000000,903500,14143
primer_density_study,11,6,6,1000000,1003500,14559
primer_density_study,11,6,6,1000000,1203500,15251
primer_density_study,11,6,6,1000000,1403500,15839
primer_density_study,11,6,6,1000000,1603500,16384
primer_density_study,11,6,6,1000000,1803500,16861
primer_density_study,11,6,6,1000000,2003500,17273
