kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,9,6,6,1000000,500,71
primer_density_study,9,6,6,1000000,1500,177
primer_density_study,9,6,6,1000000,3500,391
primer_density_study,9,6,6,1000000,13500,1367
primer_density_study,9,6,6,1000000,28500,2410
primer_density_study,9,6,6,1000000,53500,3736
primer_density_study,9,6,6,1000000,103500,5379
primer_density_study,9,6,6,1000000,203500,7590
primer_density_study,9,6,6,1000000,403500,9960
primer_density_study,9,6,6,1000000,503500,10859
primer_density_study,9,6,6,1000000,603500,11554
primer_density_study,9,6,6,1000000,703500,12154
primer_density_study,9,6,6,1000000,803500,12712
primer_density_study,9,6,6,1000000,903500,13184
primer_density_study,9,6,6,1000000,1003500,13629
primer_density_study,9,6,6,1000000,1203500,14430
primer_density_study,9,6,6,1000000,1403500,15084
primer_density_study,9,6,6,1000000,1603500,15682
primer_density_study,9,6,6,1000000,1803500,16158
primer_density_study,9,6,6,1000000,2003500,16608
